Entity,R2,RMSE,Tendencia (t/año)
Afghanistan,0.655,1745684.0,417258.0
Africa (GCP),0.952,29866277.0,22981323.0
Albania,0.083,483887.0,25183.0
Algeria,0.971,5477438.0,5518773.0
Andorra,0.79,22928.0,-7702.0
Angola,0.067,3293697.0,152995.0
Anguilla,0.71,5513.0,1497.0
Antarctica,0.354,2512.0,-322.0
Antigua and Barbuda,0.948,10870.0,8068.0
Argentina,0.006,8773627.0,118306.0
Armenia,0.801,476506.0,165700.0
Aruba,0.738,429107.0,-124778.0
Asia (GCP),0.962,538393470.0,466806350.0
Asia (excl. China and India),0.965,142824251.0,130524614.0
Australia,0.024,9893682.0,-269326.0
Austria,0.786,2635459.0,-874852.0
Azerbaijan,0.629,2320791.0,523901.0
Bahamas,0.755,184876.0,56287.0
Bahrain,0.924,1265318.0,767756.0
Bangladesh,0.989,2370383.0,3972260.0
Barbados,0.48,100287.0,-16720.0
Belarus,0.291,2013829.0,-223988.0
Belgium,0.898,3805408.0,-1956758.0
Belize,0.841,48733.0,19431.0
Benin,0.895,304909.0,154427.0
Bermuda,0.049,88812.0,-3495.0
Bhutan,0.805,190907.0,67364.0
Bolivia,0.892,1503432.0,747813.0
Bonaire Sint Eustatius and Saba,0.784,9359.0,3090.0
Bosnia and Herzegovina,0.14,1718043.0,120418.0
Botswana,0.81,589907.0,211165.0
Brazil,0.385,41503877.0,5689483.0
British Virgin Islands,0.005,18515.0,-234.0
Brunei,0.673,1086282.0,270339.0
Bulgaria,0.661,3573155.0,-864479.0
Burkina Faso,0.967,345449.0,324850.0
Burundi,0.933,64648.0,41707.0
Cambodia,0.912,2124226.0,1188921.0
Cameroon,0.734,710093.0,204390.0
Canada,0.306,13523916.0,-1556767.0
Cape Verde,0.446,37545.0,5844.0
Central African Republic,0.833,39889.0,15443.0
Central America (GCP),0.39,6473265.0,897660.0
Chad,0.92,193148.0,113679.0
Chile,0.591,4995203.0,1041488.0
China,0.927,482769447.0,298565350.0
Christmas Island,1.0,0.0,0.0
Colombia,0.78,5933988.0,1938486.0
Comoros,0.802,66982.0,23391.0
Congo,0.883,492669.0,234381.0
Cook Islands,0.374,5354.0,718.0
Costa Rica,0.3,423787.0,48083.0
Cote d'Ivoire,0.853,1109599.0,463754.0
Croatia,0.714,1290844.0,-353425.0
Cuba,0.391,2286518.0,-317430.0
Curacao,0.477,1253891.0,-207514.0
Cyprus,0.505,413878.0,-72568.0
Czechia,0.902,4303550.0,-2265665.0
Democratic Republic of Congo,0.701,656665.0,174224.0
Denmark,0.924,2641091.0,-1599878.0
Djibouti,0.319,62763.0,7448.0
Dominica,0.025,9854.0,274.0
Dominican Republic,0.898,1450525.0,747973.0
East Timor,0.754,76145.0,23129.0
Ecuador,0.546,3087006.0,587206.0
Egypt,0.892,8990415.0,4473118.0
