Entity,Year,Predicted CO₂ emissions
Afghanistan,2026,13047412.14
Afghanistan,2027,13464670.27
Afghanistan,2028,13881928.41
Afghanistan,2029,14299186.54
Afghanistan,2030,14716444.67
Afghanistan,2031,15133702.8
Afghanistan,2032,15550960.93
Afghanistan,2033,15968219.07
Afghanistan,2034,16385477.2
Afghanistan,2035,16802735.33
Africa (GCP),2026,1573425622.92
Africa (GCP),2027,1596406945.52
Africa (GCP),2028,1619388268.12
Africa (GCP),2029,1642369590.72
Africa (GCP),2030,1665350913.32
Africa (GCP),2031,1688332235.92
Africa (GCP),2032,1711313558.53
Africa (GCP),2033,1734294881.13
Africa (GCP),2034,1757276203.73
Africa (GCP),2035,1780257526.33
Albania,2026,5061775.61
Albania,2027,5086959.09
Albania,2028,5112142.58
Albania,2029,5137326.06
Albania,2030,5162509.55
Albania,2031,5187693.03
Albania,2032,5212876.51
Albania,2033,5238060.0
Albania,2034,5263243.48
Albania,2035,5288426.97
Algeria,2026,213752411.67
Algeria,2027,219271184.78
Algeria,2028,224789957.9
Algeria,2029,230308731.02
Algeria,2030,235827504.14
Algeria,2031,241346277.26
Algeria,2032,246865050.38
Algeria,2033,252383823.5
Algeria,2034,257902596.62
Algeria,2035,263421369.74
Andorra,2026,391886.17
Andorra,2027,384184.54
Andorra,2028,376482.92
Andorra,2029,368781.29
Andorra,2030,361079.67
Andorra,2031,353378.05
Andorra,2032,345676.42
Andorra,2033,337974.8
Andorra,2034,330273.17
Andorra,2035,322571.55
Angola,2026,23588770.72
Angola,2027,23741765.73
Angola,2028,23894760.74
Angola,2029,24047755.75
Angola,2030,24200750.76
Angola,2031,24353745.77
Angola,2032,24506740.78
Angola,2033,24659735.79
Angola,2034,24812730.81
Angola,2035,24965725.82
Anguilla,2026,147171.46
Anguilla,2027,148668.93
Anguilla,2028,150166.39
Anguilla,2029,151663.86
Anguilla,2030,153161.33
Anguilla,2031,154658.79
Anguilla,2032,156156.26
Anguilla,2033,157653.72
Anguilla,2034,159151.19
Anguilla,2035,160648.66
Antarctica,2026,0.0
Antarctica,2027,0.0
Antarctica,2028,0.0
Antarctica,2029,0.0
Antarctica,2030,0.0
Antarctica,2031,0.0
Antarctica,2032,0.0
Antarctica,2033,0.0
Antarctica,2034,0.0
Antarctica,2035,0.0
Antigua and Barbuda,2026,674172.35
Antigua and Barbuda,2027,682240.41
Antigua and Barbuda,2028,690308.48
Antigua and Barbuda,2029,698376.54
Antigua and Barbuda,2030,706444.6
Antigua and Barbuda,2031,714512.66
Antigua and Barbuda,2032,722580.72
Antigua and Barbuda,2033,730648.78
Antigua and Barbuda,2034,738716.84
Antigua and Barbuda,2035,746784.9
Argentina,2026,183432692.39
Argentina,2027,183550998.73
Argentina,2028,183669305.07
Argentina,2029,183787611.41
Argentina,2030,183905917.74
Argentina,2031,184024224.08
Argentina,2032,184142530.42
Argentina,2033,184260836.76
Argentina,2034,184379143.1
Argentina,2035,184497449.44
Armenia,2026,7653213.73
Armenia,2027,7818913.38
Armenia,2028,7984613.03
Armenia,2029,8150312.68
Armenia,2030,8316012.33
Armenia,2031,8481711.98
Armenia,2032,8647411.63
Armenia,2033,8813111.28
Armenia,2034,8978810.93
Armenia,2035,9144510.58
Aruba,2026,82988.84
Aruba,2027,0.0
Aruba,2028,0.0
Aruba,2029,0.0
Aruba,2030,0.0
Aruba,2031,0.0
Aruba,2032,0.0
Aruba,2033,0.0
Aruba,2034,0.0
Aruba,2035,0.0
Asia (GCP),2026,21518815270.68
Asia (GCP),2027,21985621620.3
Asia (GCP),2028,22452427969.92
Asia (GCP),2029,22919234319.55
Asia (GCP),2030,23386040669.17
Asia (GCP),2031,23852847018.8
Asia (GCP),2032,24319653368.42
Asia (GCP),2033,24786459718.05
Asia (GCP),2034,25253266067.67
Asia (GCP),2035,25720072417.29
Asia (excl. China and India),2026,8320701671.5
Asia (excl. China and India),2027,8451226285.11
Asia (excl. China and India),2028,8581750898.72
Asia (excl. China and India),2029,8712275512.33
Asia (excl. China and India),2030,8842800125.94
Asia (excl. China and India),2031,8973324739.55
Asia (excl. China and India),2032,9103849353.16
Asia (excl. China and India),2033,9234373966.77
Asia (excl. China and India),2034,9364898580.38
Asia (excl. China and India),2035,9495423193.98
Australia,2026,396227095.98
Australia,2027,395957769.55
Australia,2028,395688443.11
Australia,2029,395419116.68
Australia,2030,395149790.24
Australia,2031,394880463.8
Australia,2032,394611137.37
Australia,2033,394341810.93
Australia,2034,394072484.5
Australia,2035,393803158.06
Austria,2026,57548182.64
Austria,2027,56673330.51
Austria,2028,55798478.37
Austria,2029,54923626.24
Austria,2030,54048774.1
Austria,2031,53173921.97
Austria,2032,52299069.83
Austria,2033,51424217.7
Austria,2034,50549365.56
Austria,2035,49674513.43
Azerbaijan,2026,40727431.58
Azerbaijan,2027,41251332.86
Azerbaijan,2028,41775234.14
Azerbaijan,2029,42299135.41
Azerbaijan,2030,42823036.69
Azerbaijan,2031,43346937.97
Azerbaijan,2032,43870839.24
Azerbaijan,2033,44394740.52
Azerbaijan,2034,44918641.8
Azerbaijan,2035,45442543.07
Bahamas,2026,2941882.0
Bahamas,2027,2998169.17
Bahamas,2028,3054456.33
Bahamas,2029,3110743.5
Bahamas,2030,3167030.66
Bahamas,2031,3223317.83
Bahamas,2032,3279604.99
Bahamas,2033,3335892.16
Bahamas,2034,3392179.32
Bahamas,2035,3448466.49
Bahrain,2026,40659073.4
Bahrain,2027,41426829.26
Bahrain,2028,42194585.13
Bahrain,2029,42962341.0
Bahrain,2030,43730096.87
Bahrain,2031,44497852.74
Bahrain,2032,45265608.61
Bahrain,2033,46033364.48
Bahrain,2034,46801120.35
Bahrain,2035,47568876.22
Bangladesh,2026,118390966.92
Bangladesh,2027,122363226.96
Bangladesh,2028,126335487.01
Bangladesh,2029,130307747.05
Bangladesh,2030,134280007.1
Bangladesh,2031,138252267.14
Bangladesh,2032,142224527.19
Bangladesh,2033,146196787.23
Bangladesh,2034,150169047.28
Bangladesh,2035,154141307.32
Barbados,2026,1249891.47
Barbados,2027,1233171.16
Barbados,2028,1216450.86
Barbados,2029,1199730.56
Barbados,2030,1183010.25
Barbados,2031,1166289.95
Barbados,2032,1149569.65
Barbados,2033,1132849.34
Barbados,2034,1116129.04
Barbados,2035,1099408.74
Belarus,2026,57864778.11
Belarus,2027,57640789.96
Belarus,2028,57416801.81
Belarus,2029,57192813.66
Belarus,2030,56968825.52
Belarus,2031,56744837.37
Belarus,2032,56520849.22
Belarus,2033,56296861.07
Belarus,2034,56072872.93
Belarus,2035,55848884.78
Belgium,2026,80792568.8
Belgium,2027,78835810.89
Belgium,2028,76879052.98
Belgium,2029,74922295.06
Belgium,2030,72965537.15
Belgium,2031,71008779.24
Belgium,2032,69052021.33
Belgium,2033,67095263.41
Belgium,2034,65138505.5
Belgium,2035,63181747.59
Belize,2026,819717.83
Belize,2027,839149.14
Belize,2028,858580.44
Belize,2029,878011.74
Belize,2030,897443.05
Belize,2031,916874.35
Belize,2032,936305.65
Belize,2033,955736.95
Belize,2034,975168.26
Belize,2035,994599.56
Benin,2026,6644661.63
Benin,2027,6799089.07
Benin,2028,6953516.51
Benin,2029,7107943.95
Benin,2030,7262371.38
Benin,2031,7416798.82
Benin,2032,7571226.26
Benin,2033,7725653.7
Benin,2034,7880081.13
Benin,2035,8034508.57
Bermuda,2026,527452.85
Bermuda,2027,523957.63
Bermuda,2028,520462.41
Bermuda,2029,516967.19
Bermuda,2030,513471.98
Bermuda,2031,509976.76
Bermuda,2032,506481.54
Bermuda,2033,502986.32
Bermuda,2034,499491.11
Bermuda,2035,495995.89
Bhutan,2026,1961817.1
Bhutan,2027,2029181.19
Bhutan,2028,2096545.28
Bhutan,2029,2163909.37
Bhutan,2030,2231273.45
Bhutan,2031,2298637.54
Bhutan,2032,2366001.63
Bhutan,2033,2433365.72
Bhutan,2034,2500729.8
Bhutan,2035,2568093.89
Bolivia,2026,27378454.83
Bolivia,2027,28126267.8
Bolivia,2028,28874080.77
Bolivia,2029,29621893.75
Bolivia,2030,30369706.72
Bolivia,2031,31117519.69
Bolivia,2032,31865332.66
Bolivia,2033,32613145.64
Bolivia,2034,33360958.61
Bolivia,2035,34108771.58
Bonaire Sint Eustatius and Saba,2026,156816.53
Bonaire Sint Eustatius and Saba,2027,159906.46
Bonaire Sint Eustatius and Saba,2028,162996.39
Bonaire Sint Eustatius and Saba,2029,166086.31
Bonaire Sint Eustatius and Saba,2030,169176.24
Bonaire Sint Eustatius and Saba,2031,172266.17
Bonaire Sint Eustatius and Saba,2032,175356.1
Bonaire Sint Eustatius and Saba,2033,178446.03
Bonaire Sint Eustatius and Saba,2034,181535.96
Bonaire Sint Eustatius and Saba,2035,184625.89
Bosnia and Herzegovina,2026,21732128.3
Bosnia and Herzegovina,2027,21852546.51
Bosnia and Herzegovina,2028,21972964.72
Bosnia and Herzegovina,2029,22093382.93
Bosnia and Herzegovina,2030,22213801.14
Bosnia and Herzegovina,2031,22334219.35
Bosnia and Herzegovina,2032,22454637.56
Bosnia and Herzegovina,2033,22575055.77
Bosnia and Herzegovina,2034,22695473.98
Bosnia and Herzegovina,2035,22815892.18
Botswana,2026,8223764.41
Botswana,2027,8434929.86
Botswana,2028,8646095.31
Botswana,2029,8857260.77
Botswana,2030,9068426.22
Botswana,2031,9279591.68
Botswana,2032,9490757.13
Botswana,2033,9701922.58
Botswana,2034,9913088.04
Botswana,2035,10124253.49
Brazil,2026,529233621.29
Brazil,2027,534923103.8
Brazil,2028,540612586.3
Brazil,2029,546302068.8
Brazil,2030,551991551.31
Brazil,2031,557681033.81
Brazil,2032,563370516.32
Brazil,2033,569059998.82
Brazil,2034,574749481.32
Brazil,2035,580438963.83
British Virgin Islands,2026,190732.49
British Virgin Islands,2027,190498.01
British Virgin Islands,2028,190263.52
British Virgin Islands,2029,190029.04
British Virgin Islands,2030,189794.56
British Virgin Islands,2031,189560.07
