Entity,Year,Predicted Life Expectancy,Projected CO2 per capita,Projected GDP per capita
Afghanistan,2026,55.25,0.2421,2227.72
Afghanistan,2027,55.89,0.2386,2178.44
Afghanistan,2028,55.26,0.2351,2129.15
Afghanistan,2029,56.45,0.2316,2079.86
Afghanistan,2030,55.76,0.228,2030.58
Afghanistan,2031,56.48,0.2245,1981.29
Afghanistan,2032,56.45,0.221,1932.0
Afghanistan,2033,56.77,0.2175,1882.71
Afghanistan,2034,57.04,0.214,1833.43
Afghanistan,2035,57.04,0.2105,1784.14
Albania,2026,78.14,1.7052,21236.34
Albania,2027,78.02,1.7042,21856.84
Albania,2028,78.02,1.7032,22477.35
Albania,2029,78.02,1.7021,23097.86
Albania,2030,78.02,1.7011,23718.37
Albania,2031,78.02,1.7001,24338.87
Albania,2032,78.02,1.6991,24959.38
Albania,2033,79.22,1.6981,25579.89
Albania,2034,79.22,1.6971,26200.4
Albania,2035,79.12,1.6961,26820.9
Algeria,2026,71.28,4.5794,15174.65
Algeria,2027,70.59,4.6517,15204.47
Algeria,2028,70.35,4.7241,15234.3
Algeria,2029,70.35,4.7964,15264.12
Algeria,2030,68.66,4.8688,15293.94
Algeria,2031,71.23,4.9411,15323.77
Algeria,2032,71.5,5.0135,15353.59
Algeria,2033,71.5,5.0859,15383.41
Algeria,2034,71.5,5.1582,15413.23
Algeria,2035,71.5,5.2306,15443.06
Andorra,2026,81.96,5.2203,64088.03
Andorra,2027,82.07,5.1364,64425.03
Andorra,2028,82.07,5.0526,64762.02
Andorra,2029,82.07,4.9687,65099.02
Andorra,2030,78.52,4.8848,65436.02
Andorra,2031,82.06,4.801,65773.02
Andorra,2032,82.06,4.7171,66110.02
Andorra,2033,82.9,4.6332,66447.02
Andorra,2034,82.48,4.5494,66784.02
Andorra,2035,81.9,4.4655,67121.02
Angola,2026,46.89,0.4378,8266.62
Angola,2027,42.95,0.4006,8055.02
Angola,2028,45.06,0.3635,7843.42
Angola,2029,49.59,0.3263,7631.83
Angola,2030,53.4,0.2892,7420.23
Angola,2031,54.56,0.252,7208.63
Angola,2032,62.11,0.2148,6997.04
Angola,2033,62.72,0.1777,6785.44
Angola,2034,61.91,0.1405,6573.84
Angola,2035,61.05,0.1034,6362.25
Antigua and Barbuda,2026,75.63,7.0264,27780.66
Antigua and Barbuda,2027,75.63,7.0672,27893.41
Antigua and Barbuda,2028,75.63,7.108,28006.17
Antigua and Barbuda,2029,75.63,7.1488,28118.92
Antigua and Barbuda,2030,75.63,7.1896,28231.67
Antigua and Barbuda,2031,75.63,7.2304,28344.43
Antigua and Barbuda,2032,75.63,7.2712,28457.18
Antigua and Barbuda,2033,75.63,7.312,28569.93
Antigua and Barbuda,2034,75.63,7.3528,28682.68
